Zipcode,Total_Population,Men,Women,Under_5_Years,5_to_9_Years,10_to_14_Years,15_to_19_Years,20_to_24_Years,25_to_34_Years,35_to_44_Years,45_to_54_Years,55_to_59_Years,60_to_64_Years,65_to_74_Years,75_to_84_Years,85_Years_and_Over,Median_age_(years),Hispanic_%,White_%,Black_%,Native_Indian_%,Asian_%,Pacific_Islander_%,Other_Ethnicity_%,Total_Housing_Units,Citizen,Citizen_Male_%,Citizen_Female_%,Median_Household_Income,Mean_Household_Income,Income_Per_Capita,Median_Earnings_for_Workers,Median_Earnings_for_Male_Full-time_Workers,Median_Earnings_for_Female_Full-time_Workers,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_Under_18_Years_Old,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_Years_Old_and_Over,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_18_to_64_Years,%_of_Families_and_People_Whose_Income_in_the_Past_12_Months_is_Below_the_Poverty_Level_65_Years_and_Over,Management_Business_Science_and_Arts_Occupations_%,Service_Occupations_%,Sales_and_Office_Occupations_%,Natural_Resources_Construction_and_Maintenance_Occupations_%,Production_Transportation_and_Material_Moving_Occupations_%,Drive_%,Carpool_%,Public_Transportation_%,Walk_%,Other_Transporation_%,Work_At_Home_%,Average_Commute_Time_in_Minutes,Employed,Private_Wage_and_Salary_Workers_%,Government_Workers_%,Self_Employed_%,Unpaid_Family_Workers_%,Unemployment_Rate
98001,32194,15665,16529,1831,2181,2123,2456,2110,3661,4380,5371,2875,1726,2065,1245,170,39.3,9.3,65.4,5.2,1.3,12.1,1.4,0.1,11853,22723,48.6,51.4,71555,85389,30133,36136,54163,41793,9.3,12.4,8.4,8.6,7.1,31.1,17.4,27.9,8.7,14.9,78,10.1,6.8,0.4,1.1,3.6,29.8,15530,79.5,15.7,4.7,0.1,7.5
98002,33817,16354,17463,3074,2573,2315,2046,2119,4682,4837,3803,2254,1882,2167,1384,681,35.3,23.1,55.9,4.1,2.9,6.3,3,0.1,13738,20605,47.2,52.8,45078,54713,21185,30274,42186,36002,23.6,36.7,18.7,20.1,11.5,19.4,20.5,26,11.9,22.3,72.5,13.5,7.6,2.3,1.6,2.4,30.1,14272,83.9,11.8,4,0.3,8.9
98003,46008,22650,23358,3075,2840,3085,3170,3834,6513,5336,6331,2790,2654,3161,2200,1019,35.9,19.1,47.4,11.5,0.7,12.6,1.9,0.2,19289,29483,47.7,52.3,46250,61010,24388,29620,41465,40423,18.1,26.5,15.5,16.2,12,25.9,20.7,25.5,13.2,14.7,71.3,12.3,8.1,2.9,0.3,5,29.8,21432,85.4,9.8,4.5,0.3,8.1
98004,32587,16167,16420,1743,1243,1703,1686,1652,6743,4545,4765,1975,1506,2233,1711,1082,37.8,3.7,63,1.3,0.1,26.5,0.3,0,17462,20424,48.3,51.7,102374,148860,71560,67424,106250,78661,8.4,9,8.3,8.8,6.2,64,8.9,21.8,2.4,2.9,61.1,5.6,9.4,13.6,1.4,8.9,19.3,17207,89.4,5.4,5.1,0.2,6
98005,17733,9104,8629,1033,928,933,923,1082,3032,2702,2524,1246,716,1293,866,455,38,6.5,53.1,2.8,0.1,31.8,0,0.3,8146,10746,51.6,48.4,88940,128845,55053,55132,82071,71161,7.1,6.9,7.1,8.1,2.8,63.2,9.8,17.9,3.2,6,67.9,8,12.6,2.8,2,6.6,21.9,9006,85,7.8,6.6,0.5,7.3
98006,37519,18633,18886,1989,2377,2797,2401,1977,3771,4897,6739,3118,2425,2902,1642,484,42.6,7.3,55.5,1.3,0.4,30.9,0.2,0.3,13727,24619,49.1,50.9,113778,152406,54533,56411,100396,65339,5.4,4.6,5.6,5.9,4,58.7,11.3,21.7,3.2,5.1,71.4,10.5,8,0.6,1,8.5,26,18235,83.8,9.9,6,0.3,6.6
98007,26269,13954,12315,2206,1225,979,1009,1747,7172,4055,2473,1507,1078,1229,1048,541,32.8,10,42.2,2.4,0.2,42,0.3,0.2,11154,12132,50.7,49.3,79579,98318,40443,49673,73366,51182,10.9,15.4,9.9,9.3,14,61.1,15.8,13.9,3.4,5.8,61.9,10,19.1,4,0.9,4.1,21.6,14444,90.2,6.1,3.6,0.1,5.6
98008,24751,12510,12241,1236,1695,1422,1436,1034,2933,3766,4006,1522,1455,2207,1428,611,42.5,7.3,62,3.7,0.4,22.8,0.1,0.5,9357,16134,49.2,50.8,86005,120029,44788,41977,84219,51601,7.7,8.5,7.5,7.7,6.6,53.4,17.1,20,2.7,6.7,69.9,9.4,10.2,2.8,1.5,6.2,22.9,12214,84.4,10.1,5.4,0.1,6.6
98010,4918,2476,2442,336,384,224,357,199,385,736,885,464,324,405,163,56,42.9,8.3,82.6,2.1,2.7,2.3,0,0,2023,3642,51,49,71563,91389,35969,51005,71667,47679,8.4,7.9,8.6,8.5,9.1,33.8,11.4,27,17.6,10.2,85.1,8.5,2.4,0.3,0.8,2.9,34.1,2341,80.4,16.8,2.4,0.3,4.8
98011,31650,15471,16179,2169,1956,1797,1848,1633,4829,5156,4565,2043,1893,2180,787,794,37.8,8.9,72.5,2,0.2,11.3,0.3,0.5,13329,22420,49.1,50.9,76961,93562,38317,44897,73976,51346,8.1,9.8,7.6,8.3,3.3,49.7,14.4,22,6,7.9,74.2,9.2,7.7,1.3,0.8,6.8,28.5,16774,82.7,13.3,3.6,0.4,6.3
98014,6973,3565,3408,428,403,424,535,208,808,1080,1376,703,366,491,133,18,41.7,7.6,82.5,1,0,2.4,0.5,0,2760,5033,51.4,48.6,98011,134136,50924,null,null,null,4.4,2.7,5,4.9,5.3,49.3,12.1,22.3,10.3,6,73.3,12.4,3,1.3,1.7,8.4,35.8,3964,83.4,8.7,7.6,0.3,5.1
98019,11143,5295,5848,630,908,899,1002,378,964,2102,1997,617,632,736,257,21,39.2,3.1,90.8,2.3,0.6,1.6,0,0,4391,7790,46.9,53.1,96630,114944,42764,51226,95605,51890,7.3,8.2,7,6.4,10.8,51.4,12.3,20.6,7.7,8,80.3,9,2.8,0.2,1.5,6.2,36.4,5672,81.5,15.1,3.5,0,7.8
98022,21567,10560,11007,1225,1157,1515,1252,1208,2490,2286,4140,1536,1388,2072,821,477,42.9,9.7,83.3,0.9,0.7,1.1,0.3,0,9214,15901,48.8,51.2,62842,82984,33396,36537,57428,46293,11.6,16.2,10.3,10.4,9.9,29.4,18.4,21,17.3,13.8,80,9.3,1,2.2,1.9,5.7,34.1,10562,77.9,13,8.4,0.6,6.2
98023,50065,25122,24943,3429,3187,3357,3843,3417,7259,6356,7741,3611,2832,3344,1199,490,35.8,16.4,53.2,9.5,1,12.5,1.9,0.1,18530,33578,50.1,49.9,72303,86045,30954,36950,56008,44012,12,20.3,9.4,10,5.2,34.7,17.7,27.6,8.4,11.7,75.8,10,7.5,0.6,1.6,4.5,32.3,25296,79.5,15,5.2,0.2,8
98024,5847,3068,2779,234,331,589,371,256,549,972,1037,456,392,415,226,19,41.3,2.2,87.2,0.6,1.7,7.1,0,0,2174,4216,49.7,50.3,112308,140900,48387,49792,96721,56964,4.8,2.8,5.4,4.4,10.9,53.3,10.6,18.5,9.8,7.8,75.3,4.9,5.3,5.5,0.6,8.4,30,2780,73.4,13.2,13.5,0,7.4
98027,27855,13459,14396,1587,1868,1630,1590,1289,3443,3868,5173,2102,1798,2067,987,453,41.7,5.2,78.9,1.5,0,11,0,0,11360,20204,47.1,52.9,102025,125816,49773,54162,94318,64174,5.9,8.4,5.2,5.4,4.3,57,11.6,22,3.8,5.6,75.1,6.9,6.2,1.9,1.9,8,28.7,14967,82.8,12.4,4.8,0,4.7
98028,21568,10520,11048,1557,1434,1539,1075,1071,2674,3282,3146,1663,1240,1682,892,313,39.2,9.2,74.6,1.6,0.3,10.3,0.2,0.3,8536,14879,48.4,51.6,90588,106180,40192,46906,76688,58281,8.6,10.4,8,8.1,7.5,54.5,11.6,20.8,5.9,7.1,71.3,9.2,8.1,0.3,1.9,9.3,32.1,10783,82,10.6,7.3,0.1,6.3
98029,26586,12476,14110,2028,2288,1886,1276,928,3936,4931,3822,1559,1194,1316,737,685,36.9,4.9,63.7,2.3,0,24,0.1,0.4,11144,16138,44.6,55.4,100725,118764,47496,62464,104745,66667,3.5,3.6,3.5,3.2,5.8,62.9,8.2,22.4,2.4,4.1,62.4,17.7,7.5,2.5,0.7,9.3,29.9,13667,85.2,9.6,5.1,0.2,6.7
98030,36730,18168,18562,3188,3316,2687,2796,2376,6294,4845,4058,2171,1773,1955,699,572,31.7,14.4,48.9,13.1,0.8,15.5,2.7,0.1,12484,21037,48,52,52713,65762,21848,28119,42060,38398,22.6,30.4,19.4,20.2,13.5,26.4,25.1,22.4,8,18.2,72.6,14.8,6.4,1.3,0.7,4.2,30.2,16092,80.1,14.1,5.6,0.2,8.3
98031,36390,18233,18157,2232,2215,2153,3075,3084,5171,4847,5657,2083,1963,2369,1173,368,35.8,12,47.2,9.6,0.4,23.6,1.4,0.3,12676,23018,49.1,50.9,67793,80105,27476,32644,52831,39568,11.1,16.8,9.3,9.3,9.3,30.4,21,24.9,8.1,15.5,75.8,11.4,6.9,1,1.3,3.7,30.7,17983,81.5,13.2,5.1,0.2,8.8
98032,36368,18318,18050,2898,2699,2096,2080,3351,6338,5400,4567,1978,1836,1973,787,365,33,27.5,40.1,10,1,12.5,3.4,0.3,14675,22023,50.4,49.6,49591,64172,25358,30917,45458,35607,16.4,20.8,14.9,15.7,8.7,27.7,20.5,25.1,11.5,15.2,69.2,15.2,8,2.6,3,2,32.1,17036,84.2,10.8,4.8,0.1,8.7
98033,36105,17681,18424,2072,2100,1999,2040,1679,5593,5717,5544,2941,1903,2711,1226,580,39.4,5.7,76.6,1.1,0.3,12,0.1,0.1,16640,24957,48.5,51.5,105449,140627,61244,61976,102946,65762,5.3,4.5,5.5,5.6,5,62.5,10.6,20,3.2,3.7,71.7,6.9,8,2.7,2,8.6,23.6,19304,85.3,8.5,6.1,0,6.1
98034,42590,20625,21965,3062,2315,2267,1912,2298,8184,6107,6378,2789,2184,3135,1337,622,36.8,8.4,70,1.1,0.4,15.3,0.1,0.2,18001,29700,48.4,51.6,81694,102856,42715,44834,73250,52411,6.8,6,7.1,7.2,6.4,53.3,15.2,20.4,4.6,6.5,71.8,10,9.1,2,2,5.2,27.8,23454,84.3,9.2,6.4,0,6.8
98038,34362,16979,17383,2314,3101,2762,2504,1139,3358,5671,5977,2784,1554,2094,747,357,38.7,5.3,82.8,2.3,0.3,4.5,0,0.1,12545,23877,49,51,96134,107851,38031,53545,77341,58224,5.7,5.7,5.7,5.7,5.9,43.6,12.6,26,8.5,9.3,80,9.5,2.8,0.9,1.1,5.7,36.6,16520,79.4,16.5,4,0.1,8.2
98039,3120,1530,1590,115,253,352,303,98,16,397,530,247,241,310,185,73,45.4,1.2,73.7,0.5,0,18.4,0,0.7,1266,1989,46.4,53.6,174063,278320,96796,null,null,null,5.7,6.5,5.3,6.3,2.6,75.2,2.9,19,1.6,1.2,80.7,8.4,3.7,1,1.2,4.9,19.8,1057,81,9.5,9.1,0.5,2.4
98040,24120,11742,12378,1128,1790,2135,1259,669,1980,2981,3708,2046,1710,2360,1387,967,45.3,3.2,74.2,1.8,0,17.4,0.2,0,10179,16890,47.6,52.4,126106,187391,74808,72204,130725,78875,4.5,3.3,5,4.7,5.7,73.1,6.4,16.6,1.5,2.4,71.2,7.2,7.4,1.7,2.2,10.3,23.2,10585,80.2,10.6,9.1,0.1,5.1
98042,44894,22431,22463,2592,2740,3266,3175,2082,6075,6245,7077,3734,2884,3332,1292,400,39.3,7.7,73,4.5,0.5,9.3,0.9,0.1,16573,32177,50.5,49.5,89352,102333,36622,44267,66633,49050,6.6,9.5,5.7,5.4,7.5,37.1,11.9,29.6,6.8,14.5,79.4,10.7,3.8,0.7,0.9,4.5,32.6,23934,81,14.9,3.9,0.2,5.7
98045,14635,7552,7083,970,1178,1038,908,414,1470,2461,2556,1116,1189,870,382,83,41.1,6.1,89,1.6,0,0.9,0,0,5848,10390,50.3,49.7,93380,114017,44104,48227,78907,51810,9,15.4,6.8,7,5.2,44.8,16,23,5.8,10.4,73.2,12.7,1.4,1.2,2.2,9.3,30.7,7906,81.1,14.4,4.3,0.1,4.1
98052,62216,31978,30238,4738,4182,3649,2484,3287,13326,11048,7452,3241,2889,3304,1589,1027,34.6,9.3,56.5,1.6,0.1,29,0.2,0.1,26354,33430,49.8,50.2,106468,130379,52762,61294,105113,61086,6.8,7.3,6.6,6.2,9.3,63.8,11.3,16.7,2.9,5.2,71.2,10.2,8.1,3.8,1.9,4.9,21.6,32915,88.3,7.1,4.6,0,5.1
98053,21185,10469,10716,1191,1687,1488,1078,766,1836,3678,3106,1158,1865,2107,907,318,41.8,3.5,72.2,0.7,0.4,20.4,0.1,0.1,8377,13908,48.6,51.4,120970,152901,57239,63937,121990,71025,3,2,3.4,3.1,4.5,63.6,10.2,18,4.2,3.9,75.4,10.2,3.4,0.8,2.5,7.6,29.7,10046,85.3,7.8,6.7,0.1,4.4
98055,22659,11178,11481,1818,1574,916,926,1268,4288,3633,2974,1364,1185,1278,1046,389,36.1,10.5,39.8,13.1,0.5,24.6,3.1,0.3,9457,15189,48.3,51.7,61736,75782,30809,36901,50229,46904,10,15.3,8.6,8.9,6.6,34.7,18.2,28.5,5.8,12.9,72.1,14.4,7.2,1,1.1,4.3,29.1,12062,83.7,11.6,4.6,0,6.4
98056,33944,17429,16515,2114,2032,1804,1861,2087,6021,5769,5276,2239,1564,1794,856,527,36.9,13,54,5.7,0.1,21.2,0.5,0,13893,22504,52,48,73330,94174,38021,39156,55316,50105,11.4,15.8,10.3,10.5,8.7,39.2,19.2,22.8,8.9,9.9,74,11.6,6.9,1.2,1.1,5.1,27.5,18957,84.8,10,5.1,0.1,6.6
